商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
8001480719309,1,ACE CAND. 1 LT CLASSICA,18,1.06,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719309"
8001480709126,1,ACE CAND. 1 LT DENSO PIU' ARMONIE FLOR.,12,1.44,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709126"
8001480709089,1,ACE CAND. 1 LT DENSO PIU' BLU,12,1.44,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709089"
8001480719316,1,ACE CAND. 1 LT PROFUMATA,18,1.34,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719316"
8001480724846,1,ACE CAND. 2.45LT GENTILE PROFUMATA,6,2.59,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480724846"
8001480724839,1,ACE CAND. 2.45LT GENTILE REGOLARE,6,2.59,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480724839"
8001480709096,1,ACE CAND. 2.5 LT DENSO PIU' BLU,6,2.35,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709096"
8001480719408,1,ACE CAND. 3 LT CLASSICA,6,1.6,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719408"
8001480719422,1,ACE CAND. 3 LT PROFUMATA,6,2.46,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719422"
8001480719347,1,ACE CAND. 5 LT CLASSICA,2,2.52,PZ,999,,📦,2,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719347"
8001480719118,1,ACE CAND. 950ML GENTILE PROFUMATA,8,1.6,PZ,999,,📦,8,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719118"
8001480719101,1,ACE CAND. 950ML GENTILE REGOLARE,8,1.6,PZ,999,,📦,8,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719101"
