商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
8032642752049,0,BICCH DIESSE TRASP 200CCX50X2,30,0.92,PZ,999,7220,📦,30,,
8032642751370,0,PIATTI DIESSE DESSERT 20 BIANCHI,36,0.85,PZ,999,9083,📦,36,,
8032642751110,0,PIATTI DIESSE PIZZA X 10,12,1.77,PZ,999,9082,📦,12,,
8032642751622,0,PIATTI DIESSE X 24 FONDO RIUSABLE,28,1.52,PZ,999,22371,📦,28,,
8032642751615,0,PIATTI DIESSE X 24 PIANO RIUSABLE,28,1.52,PZ,999,22372,📦,28,,
8032218004732,0,BICCHIERI 200CC 50X2 PLUS,30,0.71,PZ,999,24028,📦,30,,
8032218006392,0,PIATTI FONDI X 24 PLUS,18,1.46,PZ,999,24030,📦,18,,
8032218006385,0,PIATTI PIANI X 24 PLUS,20,1.46,PZ,999,24029,📦,20,,
8001365893001,0,PODOVIS A/CALLOSITA 60ML,6,4.27,PZ,999,16780,📦,6,,
8001365891502,0,PODOVIS CREMA EMOL PIEDI&UN 100ML,6,3.83,PZ,999,18100,📦,6,,
8001365891335,0,PODOVIS CREMA POMICE 100 ML PLUS,6,3.9,PZ,999,9684,📦,6,,
8001365892509,0,PODOVIS CREMA TALCO 100 ML,6,2.93,PZ,999,9685,📦,6,,
8001365892707,0,PODOVIS CREMA TALLONE SCREPOLATI,6,3.83,PZ,999,9687,📦,6,,
8001365892646,0,PODOVIS DEO CREMA 100 ML E/FRESH,6,3.84,PZ,999,13410,📦,6,,
8001365891274,0,PODOVIS DEO SPRAY 150 ML,6,4.25,PZ,999,16719,📦,6,,
8001365891229,0,PODOVIS DEO SPRAY 48H 100 ML,6,4.21,PZ,999,9683,📦,6,,
8001365891830,0,PODOVIS GEL ANTIFATICA 150 ML,6,3.03,PZ,999,18101,📦,6,,
8001365892219,0,PODOVIS SCRUB LEVIGANTE 150 ML,6,5.73,PZ,999,21658,📦,6,,
8001365893025,0,PODOVIS PEDILUVIO EMOLL 150ML,6,4.09,PZ,999,21657,📦,6,,
8001365894107,0,PODOVIS SOLETTE A/FATICA L,6,6.89,PZ,999,18162,📦,6,,
8001365894008,0,PODOVIS SOLETTE A/FATICA S,6,6.89,PZ,999,18161,📦,6,,
8001365894411,0,PODOVIS SOLETTE A/ODORE T.UNICA,6,5.76,PZ,999,26323,📦,6,,
8001365894206,0,PODOVIS SOLETTE AUTOMODELLANTI,6,5.2,PZ,999,12895,📦,6,,
8001365961571,0,PODOVIS SPRAY TOGLIODORI SCARPE E S,6,3.71,PZ,999,18102,📦,6,,
8001365894121,0,PODOVIS TALLONIERE GEL L,6,3.98,PZ,999,18160,📦,6,,
8001365894022,0,PODOVIS TALLONIERE GEL S,6,3.98,PZ,999,18159,📦,6,,
5054563106117,0,POLIDENT COMPRESSE X 30 APPARECCHI,12,2.93,PZ,999,21423,📦,12,,
8016825955724,0,POLIDENT COMPRESSE X 36 3MINUTI,12,2.93,PZ,999,14603,📦,12,,
8016825965730,0,POLIDENT COMPRESSE X 36 CLASSICA,12,2.93,PZ,999,14604,📦,12,,
5054563165398,0,POLIDENT CREMA 40GR CONFORT,24,5.37,PZ,999,26937,📦,24,,
8016825972387,0,POLIDENT CREMA 40GR LUNGA TENUTA,24,5.37,PZ,999,4759,📦,24,,
5054563122537,0,POLIDENT CREMA 40GR MENTA DELICATA,24,5.37,PZ,999,26936,📦,24,,
8016825972370,0,POLIDENT CREMA 40GR NEUTRA,24,5.37,PZ,999,1845,📦,24,,
8016825971564,0,POLIDENT CREMA 40GR U/FRESH,24,5.37,PZ,999,11159,📦,24,,
8017331096390,0,PREP CREMA 75 ML TUBO,12,2.56,PZ,999,26632,📦,12,,
8017331093634,0,PREP CREMA 75 ML VASO,12,2.93,PZ,999,25181,📦,12,,
80282341,0,PREP CREMA MANI 75 ML BLU,6,1.83,PZ,999,26552,📦,6,,
8017331039335,0,PREP CREMA MANI 75 ML ROSSA,6,1.83,PZ,999,26553,📦,6,,
8017331033524,0,PREP DEO CREMA 35 ML,12,2.2,PZ,999,26656,📦,12,,
8017331089934,0,PREP SCHIUMA 300 ML CLASSICA,12,1.71,PZ,999,533,📦,12,,
8017331034088,0,PREP SCHIUMA 300 ML P.SENSIBILI,12,1.71,PZ,999,26554,📦,12,,
8000784660027,0,PREP SCHIUMA 50ML 2PZ,12,1.95,PZ,999,12712,📦,12,,
8015100579624,0,PRIL BRILLANTANTE 500 ML LIMONE,10,2.5,PZ,999,15558,📦,10,,
8015100579617,0,PRIL BRILLANTANTE 500 ML REGOLARE,10,2.5,PZ,999,8782,📦,10,,
8015100579594,0,PRIL CURALAVASTOVLIGLIE 250 ML,8,2.5,PZ,999,5301,📦,8,,
8015100578771,0,PRIL EXCELLENCE 5IN1 CAPS X16,8,3.74,PZ,999,25675,📦,8,,
8015100578986,0,PRIL EXCELLENCE TABS X 18,8,3.74,PZ,999,25673,📦,8,,
8015100578955,0,PRIL EXCELLENCE TABS X 30,6,5.67,PZ,999,25727,📦,6,,
8015100577156,0,PRIL GEL LIQ 540ML A/ODORE,8,3.74,PZ,999,23700,📦,8,,
8015100577125,0,PRIL GEL LIQ 540ML CLASS SCIOGLIGR,8,3.74,PZ,999,23698,📦,8,,
8015100577132,0,PRIL GEL LIQ 540ML IGIENE,8,3.74,PZ,999,23701,📦,8,,
8015100577149,0,PRIL GEL LIQ 540ML LIMONE,8,3.74,PZ,999,23699,📦,8,,
8015100578146,0,PRIL GEL LIQ 608ML ALLin1 CLASSICO,10,3.74,PZ,999,23782,📦,10,,
8015100574919,0,PRIL GEL LIQ 608ML ALLin1 GREEN,10,3.74,PZ,999,23784,📦,10,,
8015100577095,0,PRIL GEL LIQ 608ML ALLin1 IGIENE,10,3.74,PZ,999,23785,📦,10,,
